row_number	label	batch	status	definition_present	parent_present	location_present	xrefs
61	cutaneous branch of medial proper palmar digital artery of fifth digit of hand	2	INCOMPLETE	NO	NO	NO	https://en.wikipedia.org/wiki/Proper_palmar_digital_arteries
62	dorsal branch of lateral proper palmar digital artery of fifth digit of hand	2	INCOMPLETE	NO	NO	NO	https://en.wikipedia.org/wiki/Proper_palmar_digital_arteries
63	dorsal branch of lateral proper palmar digital artery of fourth digit of hand	2	INCOMPLETE	NO	NO	NO	https://en.wikipedia.org/wiki/Proper_palmar_digital_arteries
64	dorsal branch of lateral proper palmar digital artery of second digit of hand	2	INCOMPLETE	NO	NO	NO	https://en.wikipedia.org/wiki/Proper_palmar_digital_arteries
65	dorsal branch of lateral proper palmar digital artery of third digit of hand	2	INCOMPLETE	NO	NO	NO	https://en.wikipedia.org/wiki/Proper_palmar_digital_arteries
66	dorsal branch of medial proper palmar digital artery of fifth digit of hand	2	INCOMPLETE	NO	NO	NO	https://en.wikipedia.org/wiki/Proper_palmar_digital_arteries
67	dorsal branch of medial proper palmar digital artery of fourth digit of hand	2	INCOMPLETE	NO	NO	NO	https://en.wikipedia.org/wiki/Proper_palmar_digital_arteries
68	dorsal branch of medial proper palmar digital artery of second digit of hand	2	INCOMPLETE	NO	NO	NO	https://en.wikipedia.org/wiki/Proper_palmar_digital_arteries
69	dorsal branch of medial proper palmar digital artery of third digit of hand	2	INCOMPLETE	NO	NO	NO	https://en.wikipedia.org/wiki/Proper_palmar_digital_arteries
70	dorsal digital artery of first digit of hand	9	INCOMPLETE	NO	NO	NO	https://www.hand.theclinics.com/article/S0749-0712(19)30087-3/fulltext#secsectitle0035
71	dorsal meningeal artery	1	COMPLETE	YES	YES	YES	https://en.wikipedia.org/wiki/Meningohypophyseal_artery
72	eustachian branch of ascending pharyngeal artery	8	INCOMPLETE	NO	NO	NO	PMID:12169487
73	first common plantar digital artery	5	INCOMPLETE	NO	NO	NO	https://radiopaedia.org/articles/arterial-supply-to-the-foot
74	first palmar metacarpal artery	10	INCOMPLETE	NO	NO	NO	https://en.wikipedia.org/wiki/Palmar_metacarpal_arteries
75	fourth common plantar digital artery	5	INCOMPLETE	NO	NO	NO	https://radiopaedia.org/articles/arterial-supply-to-the-foot
76	high truncus anterior of right pulmonary artery	12	INCOMPLETE	NO	NO	NO	https://doi.org/10.21037/cdt.2018.01.04
77	hypoglossal branch of ascending pharyngeal artery	1	COMPLETE	YES	YES	YES	https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery
78	inferior lobar artery of spleen	6	COMPLETE	YES	YES	YES	https://ijcrr.com/uploads/759_pdf.pdf
79	inferior parietal artery	4	INCOMPLETE	NO	NO	NO	https://doi.org/10.3171/jns.1978.49.2.0204
80	inferior pharyngeal artery	8	INCOMPLETE	NO	NO	NO	PMID:12169487
81	interlobular artery of pancreas	7	INCOMPLETE	NO	NO	NO	https://www.flandershealth.us/chronic-pancreatitis/microcirculation-of-the-pancreas.html
82	jugular branch of ascending pharyngeal artery	1	COMPLETE	YES	YES	YES	https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery
83	lateral calcaneal artery	12	INCOMPLETE	NO	NO	NO	https://pubmed.ncbi.nlm.nih.gov/9932327/
84	lateral dorsal digital artery of fifth digit of hand	9	INCOMPLETE	NO	NO	NO	https://www.hand.theclinics.com/article/S0749-0712(19)30087-3/fulltext#secsectitle0035
85	lateral dorsal digital artery of fourth digit of hand	9	INCOMPLETE	NO	NO	NO	https://www.hand.theclinics.com/article/S0749-0712(19)30087-3/fulltext#secsectitle0035
86	lateral dorsal digital artery of second digit of hand	9	INCOMPLETE	NO	NO	NO	https://www.hand.theclinics.com/article/S0749-0712(19)30087-3/fulltext#secsectitle0035
87	lateral dorsal digital artery of third digit of hand	9	INCOMPLETE	NO	NO	NO	https://www.hand.theclinics.com/article/S0749-0712(19)30087-3/fulltext#secsectitle0035
88	lateral proper palmar digital artery of first digit of hand	10	INCOMPLETE	NO	NO	NO	https://www.ncbi.nlm.nih.gov/books/NBK546657/
89	lateral proper palmar digital artery of second digit of hand	10	INCOMPLETE	NO	NO	NO	https://radiopaedia.org/articles/radialis-indicis-artery
90	lateral proper plantar digital artery of fifth digit of foot	5	INCOMPLETE	NO	NO	NO	https://www.ncbi.nlm.nih.gov/books/NBK560912/
91	lateral proper plantar digital artery of first digit of foot	5	INCOMPLETE	NO	NO	NO	https://radiopaedia.org/articles/arterial-supply-to-the-foot
92	lateral proper plantar digital artery of fourth digit of foot	5	INCOMPLETE	NO	NO	NO	https://radiopaedia.org/articles/arterial-supply-to-the-foot
93	lateral proper plantar digital artery of second digit of foot	5	INCOMPLETE	NO	NO	NO	https://radiopaedia.org/articles/arterial-supply-to-the-foot
